,Name,country,politicalGroup,id,nationalPoliticalGroup,Vote
570,Schneider,Germany,Group of the European People's Party (Christian Democrats),197422,Christlich Demokratische Union Deutschlands,
571,Scholz,Germany,The Left group in the European Parliament - GUE/NGL,96646,Die Linke.,
572,Schreijer Pierik,Netherlands,Group of the European People's Party (Christian Democrats),125030,Christen Democratisch Appel,
573,Schuster,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124837,Sozialdemokratische Partei Deutschlands,
574,Schwab,Germany,Group of the European People's Party (Christian Democrats),28223,Christlich Demokratische Union Deutschlands,
575,Seekatz,Germany,Group of the European People's Party (Christian Democrats),197425,Christlich Demokratische Union Deutschlands,
576,Sejourne,France,Renew Europe Group,197508,La Republique En Marche,
577,Semedo,Luxembourg,Renew Europe Group,197418,Independent,
578,Semsrott,Germany,Group of the Greens/European Free Alliance,197423,Independent,
579,Sidl,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197677,Sozialdemokratische Partei Osterreichs,
580,Sikorski,Poland,Group of the European People's Party (Christian Democrats),197548,Platforma Obywatelska,
581,Silva Pereira,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124747,Partido Socialista,
582,Simecka,Slovakia,Renew Europe Group,103746,Progresivne Slovensko,
583,Simon,Germany,Group of the European People's Party (Christian Democrats),197426,Christlich Demokratische Union Deutschlands,
584,Vilibor Sincic,Croatia,Non-attached Members,197935,Zivi Zid,
585,Sippel,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,96932,Sozialdemokratische Partei Deutschlands,
586,Skyttedal,Sweden,Group of the European People's Party (Christian Democrats),197390,Kristdemokraterna,
587,Slabakov,Bulgaria,European Conservatives and Reformists Group,197849,Vmro,
588,Smeriglio,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197791,Partito Democratico,
589,Sofo,Italy,European Conservatives and Reformists Group,204334,Fratelli D'Italia,
590,Sojdrova,Czechia,Group of the European People's Party (Christian Democrats),124710,Krestanska A Demokraticka Unie   Ceskoslovenska Strana Lidova,
591,Sokol,Croatia,Group of the European People's Party (Christian Democrats),197417,Hrvatska Demokratska Zajednica,
592,Sole,Spain,Group of the Greens/European Free Alliance,185974,Esquerra Republicana De Catalunya,
593,Solis Perez,Spain,Renew Europe Group,197784,Ciudadanos  Partido De La Ciudadania,
594,Sonneborn,Germany,Non-attached Members,124834,Die Partei,
595,Spurek,Poland,Group of the Greens/European Free Alliance,197550,Independent,
596,Spyraki,Greece,Group of the European People's Party (Christian Democrats),125064,Nea Demokratia,
597,Stancanelli,Italy,European Conservatives and Reformists Group,197825,Fratelli D'Italia,
598,Stanishev,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124852,Bulgarian Socialist Party,
599,Stefanec,Slovakia,Group of the European People's Party (Christian Democrats),124929,Krestanskodemokraticke Hnutie,
600,Stefanuta,Romania,Renew Europe Group,58766,Uniunea Salvati Romania,
601,Stegrud,Sweden,European Conservatives and Reformists Group,197399,Sverigedemokraterna,
602,Strik,Netherlands,Group of the Greens/European Free Alliance,197772,Groenlinks,
603,Strugariu,Romania,Renew Europe Group,134605,Reinnoim Proiectul European Al Romaniei,
604,Szydo,Poland,European Conservatives and Reformists Group,197553,Prawo I Sprawiedliwosc,
605,Sgaard Lidell,Denmark,Renew Europe Group,204331,Venstre  Danmarks Liberale Parti,
606,Tajani,Italy,Group of the European People's Party (Christian Democrats),2187,Forza Italia,
607,Tang,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,125020,Partij Van De Arbeid,
608,Tarabella,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,29579,Parti Socialiste,
609,Tarczynski,Poland,European Conservatives and Reformists Group,204346,Prawo I Sprawiedliwosc,
610,Tardino,Italy,Identity and Democracy Group,197806,Lega,
611,Tax,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197756,Partij Van De Arbeid,
612,Terhes,Romania,European Conservatives and Reformists Group,197655,Partidul National Taranesc Crestin Democrat,
613,Terras,Estonia,Group of the European People's Party (Christian Democrats),204449,Isamaa,
614,Tertsch,Spain,European Conservatives and Reformists Group,197831,Vox,
615,Thaler,Austria,Group of the European People's Party (Christian Democrats),197667,Osterreichische Volkspartei,
616,Thun Und Hohenstein,Poland,Renew Europe Group,96776,Polska 2050,
617,Tinagli,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197591,Partito Democratico,
618,Tobe,Sweden,Group of the European People's Party (Christian Democrats),197402,Moderaterna,
619,Tobiszowski,Poland,European Conservatives and Reformists Group,197559,Prawo I Sprawiedliwosc,
620,Toia,Italy,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,28340,Partito Democratico,
621,Tolleret,France,Renew Europe Group,197547,Liste Renaissance,
622,Tomac,Romania,Group of the European People's Party (Christian Democrats),197672,Partidul Miscarea Populara,
623,Tomasevski,Lithuania,European Conservatives and Reformists Group,96697,Lietuvos Lenku Rinkimu Akcija  Krikscionisku Seimu Sajunga,
624,Tomc,Slovenia,Group of the European People's Party (Christian Democrats),125104,Slovenska Demokratska Stranka,
625,Toom,Estonia,Renew Europe Group,124700,Eesti Keskerakond,
626,Torvalds,Finland,Renew Europe Group,114268,Svenska Folkpartiet,
627,Tosenovsky,Czechia,European Conservatives and Reformists Group,96713,Obcanska Demokraticka Strana,
628,Toth,Hungary,Non-attached Members,27714,Fidesz Magyar Polgari Szovetseg Keresztenydemokrata Neppart,
629,Toussaint,France,Group of the Greens/European Free Alliance,97236,Europe Ecologie,
630,Tovaglieri,Italy,Identity and Democracy Group,197580,Lega,
631,Trillet Lenoir,France,Renew Europe Group,197593,Liste Renaissance,
632,Trocsanyi,Hungary,Non-attached Members,197894,Fidesz Magyar Polgari Szovetseg Keresztenydemokrata Neppart,
633,Tudorache,Romania,Renew Europe Group,197665,Reinnoim Proiectul European Al Romaniei,
634,Tudose,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,198183,Partidul Social Democrat,
635,Uhrik,Slovakia,Non-attached Members,197763,Hnutie Republika,
636,Ujhelyi,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124705,Magyar Szocialista Part,
637,Urban Crespo,Spain,The Left group in the European Parliament - GUE/NGL,131507,Anticapitalistas,
638,Urtasun,Spain,Group of the Greens/European Free Alliance,124972,Catalunya En Comu,
639,Usakovs,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197810,"""Saskana"" Socialdemokratiska Partija",
640,Uspaskich,Lithuania,Non-attached Members,96698,Darbo Partija,
641,Vaidere,Latvia,Group of the European People's Party (Christian Democrats),28617,"Partija ""Vienotiba""",
642,Vana,Austria,Group of the Greens/European Free Alliance,124934,Die Grunen   Die Grune Alternative,
643,Van Brempt,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5729,Socialistische Partij.Anders,
644,Vandendriessche,Belgium,Identity and Democracy Group,185771,Vlaams Belang,
645,Vandenkendelaere,Belgium,Group of the European People's Party (Christian Democrats),129164,Christen Democratisch   Vlaams,
646,Van Overtveldt,Belgium,European Conservatives and Reformists Group,125106,Nieuw Vlaamse Alliantie,
647,Van Sparrentak,Netherlands,Group of the Greens/European Free Alliance,197870,Groenlinks,
648,Vautmans,Belgium,Renew Europe Group,130100,Open Vlaamse Liberalen En Democraten,
649,Vedrenne,France,Renew Europe Group,197502,Mouvement Democrate,
650,Verheyen,Germany,Group of the European People's Party (Christian Democrats),96756,Christlich Demokratische Union Deutschlands,
651,Verhofstadt,Belgium,Renew Europe Group,97058,Open Vlaamse Liberalen En Democraten,
652,Vilimsky,Austria,Identity and Democracy Group,125001,Freiheitliche Partei Osterreichs,
653,Villanueva Ruiz,Spain,The Left group in the European Parliament - GUE/NGL,197827,Podemos,
654,Villumsen,Denmark,The Left group in the European Parliament - GUE/NGL,197571,Enhedslisten,
655,Vincze,Romania,Group of the European People's Party (Christian Democrats),98582,Uniunea Democrata Maghiara Din Romania,
656,Vind,Denmark,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,199941,Socialdemokratiet,
657,Virkkunen,Finland,Group of the European People's Party (Christian Democrats),124726,Kansallinen Kokoomus,
658,Vitanov,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197844,Bulgarian Socialist Party,
659,Vollath,Austria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197678,Sozialdemokratische Partei Osterreichs,
660,Von Cramon Taubadel,Germany,Group of the Greens/European Free Alliance,197451,Bundnis 90/Die Grunen,
661,Vondra,Czechia,European Conservatives and Reformists Group,197537,Obcanska Demokraticka Strana,
662,Voss,Germany,Group of the European People's Party (Christian Democrats),96761,Christlich Demokratische Union Deutschlands,
663,Vozemberg Vrionidi,Greece,Group of the European People's Party (Christian Democrats),125065,Nea Demokratia,
664,Vrecionova,Czechia,European Conservatives and Reformists Group,197552,Obcanska Demokraticka Strana,
665,Vuolo,Italy,Group of the European People's Party (Christian Democrats),197798,Forza Italia,
666,Vazquez Lazara,Spain,Renew Europe Group,204400,Ciudadanos  Partido De La Ciudadania,
667,Waitz,Austria,Group of the Greens/European Free Alliance,190464,Die Grunen   Die Grune Alternative,
668,Wallace,Ireland,The Left group in the European Parliament - GUE/NGL,197817,Independents For Change,
669,Walsh,Ireland,Group of the European People's Party (Christian Democrats),197863,Fine Gael Party,
670,Walsmann,Germany,Group of the European People's Party (Christian Democrats),197429,Christlich Demokratische Union Deutschlands,
671,Warborn,Sweden,Group of the European People's Party (Christian Democrats),197405,Moderaterna,
672,Jan Waszczykowski,Poland,European Conservatives and Reformists Group,197566,Prawo I Sprawiedliwosc,
673,Weber,Germany,Group of the European People's Party (Christian Democrats),28229,Christlich Soziale Union In Bayern E.V.,
674,Weimers,Sweden,European Conservatives and Reformists Group,123562,Sverigedemokraterna,
675,Weiss,Denmark,Group of the European People's Party (Christian Democrats),197515,Det Konservative Folkeparti,
676,Wieland,Germany,Group of the European People's Party (Christian Democrats),2323,Christlich Demokratische Union Deutschlands,
677,Wiener,Austria,Group of the Greens/European Free Alliance,197675,Die Grunen   Die Grune Alternative,
678,Wiesner,Sweden,Renew Europe Group,214839,Centerpartiet,
679,Wiezik,Slovakia,Renew Europe Group,197769,Progresivne Slovensko,
680,Winkler,Romania,Group of the European People's Party (Christian Democrats),39725,Uniunea Democrata Maghiara Din Romania,
681,Winzig,Austria,Group of the European People's Party (Christian Democrats),197652,Osterreichische Volkspartei,
682,Wiseler Lima,Luxembourg,Group of the European People's Party (Christian Democrats),197421,Parti Chretien Social Luxembourgeois,
683,Wisniewska,Poland,European Conservatives and Reformists Group,124877,Prawo I Sprawiedliwosc,
684,Wolken,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,185619,Sozialdemokratische Partei Deutschlands,
685,Wolters,Netherlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,5392,Partij Van De Arbeid,
686,Yenbou,France,Renew Europe Group,197511,Europe Ecologie,
687,Yon Courtin,France,Renew Europe Group,197581,Liste Renaissance,
688,Yoncheva,Bulgaria,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,197842,Bulgarian Socialist Party,
689,Zagorakis,Greece,Group of the European People's Party (Christian Democrats),125067,Nea Demokratia,
690,Zahradil,Czechia,European Conservatives and Reformists Group,23712,Obcanska Demokraticka Strana,
691,Zalewska,Poland,European Conservatives and Reformists Group,197572,Prawo I Sprawiedliwosc,
692,Zambelli,Italy,Identity and Democracy Group,197586,Lega,
693,Zanni,Italy,Identity and Democracy Group,124780,Lega,
694,Zarzalejos,Spain,Group of the European People's Party (Christian Democrats),197606,Partido Popular,
695,Zdanoka,Latvia,Non-attached Members,28619,Latvijas Krievu Savieniba,
696,Zdechovsky,Czechia,Group of the European People's Party (Christian Democrats),124713,Krestanska A Demokraticka Unie   Ceskoslovenska Strana Lidova,
697,Zile,Latvia,European Conservatives and Reformists Group,28615,"Nacionala Apvieniba ""Visu Latvijai!"" ""Tevzemei Un Brivibai/Lnnk""",
698,Zimniok,Germany,Identity and Democracy Group,197489,Alternative Fur Deutschland,
699,Zotowski,Poland,European Conservatives and Reformists Group,124884,Prawo I Sprawiedliwosc,
700,Ignacio Zoido Alvarez,Spain,Group of the European People's Party (Christian Democrats),197621,Partido Popular,
701,Zorrinho,Portugal,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,124739,Partido Socialista,
702,Zovko,Croatia,Group of the European People's Party (Christian Democrats),185341,Hrvatska Demokratska Zajednica,
703,Zullo,Italy,Renew Europe Group,125237,Independent,
704,Zver,Slovenia,Group of the European People's Party (Christian Democrats),96933,Slovenska Demokratska Stranka,
